Program Index,Program,Program Type,File Reference Type,DDS File,File Usage,Access Type,Device Type,Source File
7843,PDXKPFR,RPG,Database File,OPEXREL2IF,Unknown,Full Procedural,DISK,PDXKPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,OMHSTPLAIF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,OMBYREL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,CABBREL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,OPCXREL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,PDJEREL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,OPBFCPL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,PDICCPL1IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7846,PDXLPFR,RPG,Database File,OPEXREL2IF,Unknown,Full Procedural,DISK,PDXLPFR_RPG.txt
7848,PDXLXFR,RPG,Database File,PDNDCPL4IF,Unknown,Full Procedural,DISK,PDXLXFR_RPG.txt
7848,PDXLXFR,RPG,Database File,OPBGWKL1IF,Unknown,Full Procedural,DISK,PDXLXFR_RPG.txt
7848,PDXLXFR,RPG,Database File,OPCPCPL1IF,Unknown,Full Procedural,DISK,PDXLXFR_RPG.txt
7848,PDXLXFR,RPG,Database File,OPCOCPL1IF,Unknown,Full Procedural,DISK,PDXLXFR_RPG.txt
7851,PDXMPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXMPFR_RPG.txt
7851,PDXMPFR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXMPFR_RPG.txt
7853,PDXNXFR,RPG,Database File,ARBCREL1IF,Unknown,Full Procedural,DISK,PDXNXFR_RPG.txt
7856,PDXODFR,RPG,Database File,OPCPCPL1IF,Unknown,Full Procedural,DISK,PDXODFR_RPG.txt
7856,PDXODFR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXODFR_RPG.txt
7856,PDXODFR,RPG,Database File,OPBGWKL1IF,Unknown,Full Procedural,DISK,PDXODFR_RPG.txt
7859,PDXOPVR,RPG,Database File,CAASREL1IF,Unknown,Full Procedural,DISK,PDXOPVR_RPG.txt
7859,PDXOPVR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXOPVR_RPG.txt
7859,PDXOPVR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXOPVR_RPG.txt
7863,PDXPD1R,RPG,Database File,OPBFCPL1IF,Unknown,Full Procedural,DISK,PDXPD1R_RPG.txt
7863,PDXPD1R,RPG,Database File,CAABREL4IF,Unknown,Full Procedural,DISK,PDXPD1R_RPG.txt
7866,PDXPPVR,RPG,Database File,OME5REL2IF,Unknown,Full Procedural,DISK,PDXPPVR_RPG.txt
7866,PDXPPVR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXPPVR_RPG.txt
7866,PDXPPVR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXPPVR_RPG.txt
7866,PDXPPVR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXPPVR_RPG.txt
7866,PDXPPVR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXPPVR_RPG.txt
7869,PDXQDFR,RPG,Database File,OPCOCPL1IF,Unknown,Full Procedural,DISK,PDXQDFR_RPG.txt
7869,PDXQDFR,RPG,Database File,OPBFCPL1IF,Unknown,Full Procedural,DISK,PDXQDFR_RPG.txt
7870,PDXQPVR,RPG,Database File,OME5REL2IF,Unknown,Full Procedural,DISK,PDXQPVR.txt
7870,PDXQPVR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXQPVR.txt
7870,PDXQPVR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXQPVR.txt
7870,PDXQPVR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXQPVR.txt
7870,PDXQPVR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXQPVR.txt
7873,PDXQXFR,RPG,Database File,CAADREL6IF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CAB1REL2IF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CAAFREL1IF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CAB7CPLLIF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CAB7CPL0UF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7873,PDXQXFR,RPG,Database File,CAB1REL1UF,Unknown,Full Procedural,DISK,PDXQXFR_RPG.txt
7876,PDXRPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OMFJCPLQIF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OMFFREL0IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,CABBREL1IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OPBFCPLLIF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OPBGWKL1IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OMFLCPL1IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OPBFCPL1IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OMFJCPL0IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,PDLCREL0IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7876,PDXRPFR,RPG,Database File,OPBFCPL8IF,Unknown,Full Procedural,DISK,PDXRPFR_RPG.txt
7879,PDXRXFR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXRXFR_RPG.txt
7882,PDXSDFR,RPG,Database File,CAVLLSL0IF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7882,PDXSDFR,RPG,Database File,PDJ6REL1IF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7882,PDXSDFR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7882,PDXSDFR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7882,PDXSDFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7882,PDXSDFR,RPG,Database File,PDJ6REL0UF,Unknown,Full Procedural,DISK,PDXSDFR_RPG.txt
7885,PDXSXFR,RPG,Database File,CAACREL1IF,Unknown,Full Procedural,DISK,PDXSXFR_RPG.txt
7886,PDXTPVR,RPG,Database File,OME5REL2IF,Unknown,Full Procedural,DISK,PDXTPVR.txt
7886,PDXTPVR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXTPVR.txt
7886,PDXTPVR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXTPVR.txt
7886,PDXTPVR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXTPVR.txt
7886,PDXTPVR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXTPVR.txt
7889,PDXTXFR,RPG,Database File,CAACREL1IF,Unknown,Full Procedural,DISK,PDXTXFR_RPG.txt
7891,PDXUXFR,RPG,Database File,ARBCREL1IF,Unknown,Full Procedural,DISK,PDXUXFR_RPG.txt
7891,PDXUXFR,RPG,Database File,ARBDCPLAIF,Unknown,Full Procedural,DISK,PDXUXFR_RPG.txt
7891,PDXUXFR,RPG,Database File,ARBCREL0UF,Unknown,Full Procedural,DISK,PDXUXFR_RPG.txt
7894,PDXVPVR,RPG,Database File,CADRREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,PDL1REL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CAABREL4IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CAADREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CABZREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CABZREL7IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,OME8REL0IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,OME9REL0IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,OMFAREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,PDILREL0IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CAAIREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CADTREL1IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7894,PDXVPVR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXVPVR_RPG.txt
7899,PDXWPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,OMHSTPLDIF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,CAABREL1IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,CABBREL1IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,OMFFREL0IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,OPBFCPL1IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,OMFJCPL0IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
